Customer,Step_0,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39
1,entrance,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entrance,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entrance,fruit,spices,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entrance,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entrance,spices,fruit,fruit,fruit,fruit,drinks,fruit,fruit,dairy,dairy,dairy,spices,spices,spices,dairy,dairy,spices,spices,spices,checkout,,,,,,,,,,,,,,,,,,,
7,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entrance,fruit,dairy,dairy,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entrance,spices,dairy,drinks,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,entrance,spices,spices,spices,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,entrance,spices,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,entrance,fruit,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,entrance,drinks,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,entrance,fruit,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,entrance,spices,drinks,drinks,drinks,spices,drinks,fruit,fruit,dairy,dairy,dairy,dairy,dairy,spices,spices,dairy,dairy,dairy,spices,spices,dairy,dairy,dairy,dairy,fruit,fruit,drinks,spices,checkout,,,,,,,,,,
22,entrance,drinks,drinks,drinks,drinks,spices,dairy,dairy,dairy,dairy,dairy,dairy,dairy,drinks,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,
23,entrance,fruit,drinks,spices,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,entrance,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,entrance,fruit,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,entrance,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,entrance,spices,spices,spices,spices,spices,drinks,drinks,drinks,drinks,drinks,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,
28,entrance,drinks,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,entrance,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,
30,entrance,fruit,fruit,fruit,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,entrance,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,entrance,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,entrance,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,entrance,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,entrance,spices,dairy,dairy,dairy,drinks,drinks,spices,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,entrance,fruit,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,entrance,spices,fruit,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,entrance,spices,spices,spices,spices,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,entrance,spices,fruit,fruit,dairy,dairy,spices,dairy,dairy,fruit,fruit,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,
41,entrance,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,entrance,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,entrance,fruit,dairy,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,entrance,spices,spices,fruit,fruit,dairy,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,entrance,fruit,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,entrance,spices,spices,spices,drinks,drinks,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,entrance,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,
50,entrance,drinks,drinks,drinks,drinks,drinks,drinks,drinks,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,entrance,spices,spices,spices,spices,spices,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,entrance,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,fruit,fruit,spices,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,
53,entrance,spices,spices,spices,spices,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,entrance,fruit,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,entrance,spices,spices,spices,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,
57,entrance,drinks,drinks,drinks,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,entrance,spices,dairy,dairy,fruit,fruit,fruit,fruit,fruit,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,entrance,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,entrance,spices,spices,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,entrance,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,entrance,spices,spices,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,entrance,dairy,dairy,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,entrance,fruit,fruit,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,entrance,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,entrance,fruit,fruit,fruit,fruit,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,
68,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,entrance,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,entrance,fruit,spices,spices,spices,spices,drinks,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,entrance,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,entrance,spices,fruit,fruit,fruit,fruit,fruit,fruit,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,entrance,spices,dairy,drinks,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,
75,entrance,spices,dairy,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,entrance,fruit,fruit,dairy,dairy,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,
77,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,entrance,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,entrance,dairy,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,entrance,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,entrance,fruit,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,entrance,spices,dairy,dairy,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,entrance,spices,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,entrance,spices,fruit,fruit,fruit,fruit,fruit,drinks,drinks,spices,spices,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,
89,entrance,dairy,fruit,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,entrance,spices,spices,spices,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,entrance,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,entrance,dairy,dairy,dairy,dairy,dairy,dairy,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,entrance,spices,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,entrance,spices,spices,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,entrance,dairy,dairy,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,spices,dairy,spices,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,
98,entrance,spices,spices,drinks,dairy,dairy,dairy,dairy,dairy,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,entrance,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,entrance,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,entrance,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,entrance,drinks,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,entrance,dairy,dairy,dairy,dairy,dairy,dairy,spices,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,entrance,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,entrance,drinks,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,entrance,spices,spices,spices,spices,spices,spices,drinks,drinks,drinks,drinks,drinks,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,dairy,dairy,drinks,drinks,checkout,,,,,,,,,,,,,,,
109,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,entrance,drinks,drinks,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,entrance,spices,spices,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,entrance,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,entrance,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,entrance,fruit,fruit,fruit,dairy,dairy,dairy,drinks,fruit,fruit,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,
117,entrance,spices,spices,spices,spices,spices,dairy,dairy,dairy,dairy,fruit,fruit,fruit,fruit,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,
118,entrance,spices,drinks,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,entrance,spices,drinks,fruit,dairy,dairy,dairy,spices,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,entrance,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,entrance,fruit,fruit,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,entrance,spices,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,entrance,spices,dairy,dairy,dairy,dairy,dairy,dairy,dairy,spices,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,
124,entrance,dairy,dairy,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,entrance,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,entrance,fruit,dairy,dairy,dairy,dairy,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,entrance,dairy,spices,fruit,drinks,drinks,drinks,drinks,drinks,drinks,drinks,drinks,drinks,drinks,drinks,spices,fruit,drinks,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,
129,entrance,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,entrance,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,entrance,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,entrance,fruit,fruit,fruit,dairy,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,entrance,spices,dairy,dairy,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,entrance,spices,spices,dairy,dairy,dairy,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,entrance,dairy,dairy,fruit,fruit,fruit,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,entrance,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,entrance,drinks,drinks,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,entrance,spices,dairy,dairy,dairy,dairy,dairy,dairy,spices,spices,spices,spices,drinks,drinks,drinks,drinks,spices,spices,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,
143,entrance,fruit,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,entrance,spices,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,entrance,spices,spices,drinks,spices,spices,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,entrance,fruit,fruit,dairy,dairy,spices,dairy,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,entrance,fruit,dairy,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,
148,entrance,dairy,drinks,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,entrance,dairy,dairy,dairy,spices,spices,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,entrance,spices,spices,dairy,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,entrance,fruit,fruit,fruit,drinks,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,entrance,spices,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,entrance,drinks,drinks,spices,spices,spices,spices,dairy,dairy,dairy,dairy,dairy,dairy,spices,spices,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,
156,entrance,spices,drinks,drinks,drinks,drinks,fruit,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,
157,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,entrance,spices,spices,spices,spices,spices,dairy,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,
160,entrance,spices,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
